,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,Gujarat,800,Reliance Jio,"829.935-831.165,839.445-843.135,1.23,3.69",829.935-831.165
1,Gujarat,800,Reliance Jio,"829.935-831.165,839.445-843.135,1.23,3.69",839.445-843.135
2,Punjab,800,Reliance Jio,"825.945-829.635,3.69",825.945-829.635
3,Rajasthan,800,Reliance Jio,"827.175-832.095,4.92",827.175-832.095
4,"Uttar 
Pradesh (E)",800,Reliance Jio,"825.945-827.175,1.23",825.945-827.175
5,"Andhra
 Pradesh",1800,TTSL,"1741.7-1744.1,2.4",1741.7-1744.1
6,Assam,1800,Bharti Airtel,"1743.7-1747.5,3.8",1743.7-1747.5
7,Assam,1800,Idea,"1738.7-1743.7,5.0",1738.7-1743.7
8,Assam,1800,Vodafone,"1730.7-1738.7,8.0",1730.7-1738.7
9,Bihar,1800,Aircel,"1736.5-1738.3,1.8",1736.5-1738.3
10,Bihar,1800,Idea,"1726.5-1731.5,5.0",1726.5-1731.5
11,Bihar,1800,Reliance Jio,"1731.5-1736.5,5.0",1731.5-1736.5
12,Delhi,1800,Vodafone,"1731.3-1733.3,2.0",1731.3-1733.3
13,Gujarat,1800,Idea,"1735.7-1744.1,8.4",1735.7-1744.1
14,Gujarat,1800,Vodafone,"1744.1-1747.1,3.0",1744.1-1747.1
15,Haryana,1800,Bharti Airtel,"1735.3-1736.9,1.6",1735.3-1736.9
16,Haryana,1800,Idea,"1736.9-1741.7,4.8",1736.9-1741.7
17,Haryana,1800,Reliance Jio,"1734.3-1735.3,1.0",1734.3-1735.3
18,Himachal Pradesh,1800,Idea,"1732.1-1732.7,0.6",1732.1-1732.7
19,Himachal Pradesh,1800,Reliance Jio,"1732.7-1737.7,5.0",1732.7-1737.7
20,Jammu & Kashmir,1800,Bharti Airtel,"1747.9-1750.3,2.4",1747.9-1750.3
21,Jammu & Kashmir,1800,Idea,"1750.3-1755.3,5.0",1750.3-1755.3
22,Jammu & Kashmir,1800,RCL,"1742.9-1747.9,5.0",1742.9-1747.9
23,Jammu & Kashmir,1800,Reliance Jio,"1732.9-1742.9,10.0",1732.9-1742.9
24,Kerala,1800,Vodafone,"1739.7-1740.3,0.6",1739.7-1740.3
25,Kolkata,1800,Bharti Airtel,"1742.3-1744.3,2.0",1742.3-1744.3
26,Kolkata,1800,Vodafone,"1740.3-1742.3,2.0",1740.3-1742.3
27,Madhya Pradesh,1800,Idea,"1737.1-1741.7,4.6",1737.1-1741.7
28,Maharashtra,1800,Bharti Airtel,"1751.5-1756.5,5.0",1751.5-1756.5
29,Maharashtra,1800,Idea,"1761.5-1763.5,2.0",1761.5-1763.5
30,Maharashtra,1800,TTSL,"1756.5-1761.5,5.0",1756.5-1761.5
31,Mumbai,1800,TTSL,"1759.9-1764.9,5.0",1759.9-1764.9
32,North East,1800,Bharti Airtel,"1753.5-1754.9,1.4",1753.5-1754.9
33,North East,1800,Vodafone,"1745.7-1753.5,7.8",1745.7-1753.5
34,Punjab,1800,Bharti Airtel,"1740.3-1741.1,0.8",1740.3-1741.1
35,Punjab,1800,Idea,"1738.3-1740.3,2.0",1738.3-1740.3
36,Punjab,1800,Reliance Jio,"1730.1-1735.3,5.2",1730.1-1735.3
37,Punjab,1800,Vodafone,"1735.3-1738.3,3.0",1735.3-1738.3
38,Rajasthan,1800,Bharti Airtel,"1740.1-1741.9,1.8",1740.1-1741.9
39,Rajasthan,1800,Idea,"1730.9-1735.9,5.0",1730.9-1735.9
40,Rajasthan,1800,Vodafone,"1735.9-1740.1,4.2",1735.9-1740.1
41,"Uttar 
Pradesh (E)",1800,Reliance Jio,"1733.5-1736.9,3.4",1733.5-1736.9
42,"Uttar 
Pradesh (E)",1800,Vodafone,"1736.9-1738.9,2.0",1736.9-1738.9
43,Uttar Pradesh (W),1800,Idea,"1734.5-1741.7,7.2",1734.5-1741.7
44,Uttar Pradesh (W),1800,Reliance Jio,"1729.5-1734.5,5.0",1729.5-1734.5
45,Uttar Pradesh (W),1800,Vodafone,"1727.1-1729.5,2.4",1727.1-1729.5
46,West Bengal,1800,Idea,"1741.7-1746.7,5.0",1741.7-1746.7
47,West Bengal,1800,Reliance Jio,"1746.7-1751.7,5.0",1746.7-1751.7
48,West Bengal,1800,Vodafone,"1734.1-1741.7,7.6",1734.1-1741.7
49,Bihar,2100,Bharti Airtel,"1944.0-1949.0,5.0",1944.0-1949.0
50,Bihar,2100,Idea,"1939.0-1944.0,5.0",1939.0-1944.0
51,Delhi,2100,Bharti Airtel,"1939.0-1944.0,5.0",1939.0-1944.0
52,Haryana,2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
53,Jammu & Kashmir,2100,Bharti Airtel,"1939.0-1944.0,5.0",1939.0-1944.0
54,Kerala,2100,Bharti Airtel,"1939.0-1944.0,5.0",1939.0-1944.0
55,Maharashtra,2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
56,Mumbai,2100,Idea,"1939.0-1944.0,5.0",1939.0-1944.0
57,Odisha,2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
58,Punjab,2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
59,Rajasthan,2100,Bharti Airtel,"1944.0-1949.0,5.0",1944.0-1949.0
60,Rajasthan,2100,Idea,"1949.0-1954.0,5.0",1949.0-1954.0
61,Rajasthan,2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
62,Tamil Nadu,2100,Vodafone,"1939.0-1949.0,10.0",1939.0-1949.0
63,"Uttar 
Pradesh (E)",2100,Idea,"1944.0-1949.0,5.0",1944.0-1949.0
64,"Uttar 
Pradesh (E)",2100,Vodafone,"1939.0-1944.0,5.0",1939.0-1944.0
65,"Andhra
 Pradesh",2300,Bharti Airtel,"2325.0-2335.0,10.0",2325.0-2335.0
66,"Andhra
 Pradesh",2300,Reliance Jio,"2335.0-2345.0,10.0",2335.0-2345.0
67,Assam,2300,Bharti Airtel,"2347.5-2357.5,10.0",2347.5-2357.5
68,Assam,2300,Reliance Jio,"2357.5-2367.5,10.0",2357.5-2367.5
69,Bihar,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
70,Bihar,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
71,Delhi,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
72,Delhi,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
73,Gujarat,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
74,Gujarat,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
75,Himachal Pradesh,2300,Bharti Airtel,"2377.5-2387.5,10.0",2377.5-2387.5
76,Himachal Pradesh,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
77,Karnataka,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
78,Karnataka,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
79,Kerala,2300,Idea,"2360.0-2370.0,10.0",2360.0-2370.0
80,Kerala,2300,Reliance Jio,"2350.0-2360.0,10.0",2350.0-2360.0
81,Kolkata,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
82,Kolkata,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
83,Madhya Pradesh,2300,Idea,"2352.5-2362.5,10.0",2352.5-2362.5
84,Madhya Pradesh,2300,Reliance Jio,"2362.5-2372.5,10.0",2362.5-2372.5
85,Maharashtra,2300,Idea,"2365.0-2375.0,10.0",2365.0-2375.0
86,Maharashtra,2300,Reliance Jio,"2355.0-2365.0,10.0",2355.0-2365.0
87,Mumbai,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
88,Mumbai,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
89,North East,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
90,North East,2300,Reliance Jio,"2347.5-2357.5,10.0",2347.5-2357.5
91,Odisha,2300,Bharti Airtel,"2388.0-2398.0,10.0",2388.0-2398.0
92,Odisha,2300,Reliance Jio,"2378.0-2388.0,10.0",2378.0-2388.0
