,Service_Area,Band,Company_Name,Frequency-Quantum,Freq_slices
113,Punjab,1800,Idea,"1710.1-1715.1,1750.7-1751.9,1759.3-1761.1,5.0,1.2,1.8",1759.3-1761.1
114,Punjab,1800,Vodafone,"1750.1-1750.7,0.6",1750.1-1750.7
115,Rajasthan,1800,Aircel,"1736.9-1737.1,1749.1-1750.5,0.2,1.4",1736.9-1737.1
116,Rajasthan,1800,Aircel,"1736.9-1737.1,1749.1-1750.5,0.2,1.4",1749.1-1750.5
117,Rajasthan,1800,Bharti Airtel,"1720.9-1722.5,1738.9-1743.9,1750.5-1752.1,1.6,5.0,1.6",1720.9-1722.5
118,Rajasthan,1800,Bharti Airtel,"1720.9-1722.5,1738.9-1743.9,1750.5-1752.1,1.6,5.0,1.6",1738.9-1743.9
119,Rajasthan,1800,Bharti Airtel,"1720.9-1722.5,1738.9-1743.9,1750.5-1752.1,1.6,5.0,1.6",1750.5-1752.1
120,Rajasthan,1800,Vodafone,"1736.1-1736.9,0.8",1736.1-1736.9
121,Tamil Nadu,1800,Bharti Airtel,"1738.5-1743.5,5.0",1738.5-1743.5
122,Tamil Nadu,1800,Reliance Jio,"1720.3-1725.3,1749.1-1750.3,5.0,1.2",1720.3-1725.3
123,Tamil Nadu,1800,Reliance Jio,"1720.3-1725.3,1749.1-1750.3,5.0,1.2",1749.1-1750.3
124,"Uttar Pradesh (E)",1800,Aircel ,"1718.7-1720.5,1.8",1718.7-1720.5
125,"Uttar Pradesh (E)",1800,Telewings,"1720.5-1722.3,1.8",1720.5-1722.3
126,"Uttar Pradesh (E)",1800,Vodafone,"1722.3-1722.7,1733.3-1735.9,1749.3-1750.3,0.4,2.6,1.0",1722.3-1722.7
127,"Uttar Pradesh (E)",1800,Vodafone,"1722.3-1722.7,1733.3-1735.9,1749.3-1750.3,0.4,2.6,1.0",1733.3-1735.9
128,"Uttar Pradesh (E)",1800,Vodafone,"1722.3-1722.7,1733.3-1735.9,1749.3-1750.3,0.4,2.6,1.0",1749.3-1750.3
129,"Uttar Pradesh (W)",1800,Telewings,"1744.1-1744.9,1762.5-1763.7,0.8,1.2",1744.1-1744.9
130,"Uttar Pradesh (W)",1800,Telewings,"1744.1-1744.9,1762.5-1763.7,0.8,1.2",1762.5-1763.7
131,West Bengal,1800,Aircel ,"1759.3-1760.5,1.2",1759.3-1760.5
132,West Bengal,1800,Bharti Airtel,"1735.5-1739.9,4.4",1735.5-1739.9
133,West Bengal,1800,Reliance Jio,"1716.1-1721.1,1760.5-1761.1,5.0,0.6",1716.1-1721.1
134,West Bengal,1800,Reliance Jio,"1716.1-1721.1,1760.5-1761.1,5.0,0.6",1760.5-1761.1
